name,url,min Durability,min Energy_Projection,min Fighting_Skills,min Intelligence,min Speed,min Strength,max Durability,max Energy_Projection,max Fighting_Skills,max Intelligence,max Speed,max Strength
A'Lars (Earth-616),https://marvel.fandom.com/wiki/A%27Lars_(Earth-616),6.0,4.0,2.0,6.0,3.0,4.0,6.0,4.0,2.0,6.0,3.0,4.0
A'Sai (Earth-616),https://marvel.fandom.com/wiki/A%27Sai_(Earth-616),2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
A. G. Bell (Earth-616),https://marvel.fandom.com/wiki/A._G._Bell_(Earth-616),2.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0
Aamshed (Earth-616),https://marvel.fandom.com/wiki/Aamshed_(Earth-616),2.0,6.0,5.0,3.0,2.0,2.0,2.0,6.0,5.0,3.0,2.0,2.0
Aarkus (Earth-616),https://marvel.fandom.com/wiki/Aarkus_(Earth-616),5.0,6.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,7.0,4.0
Aaron Chord (Earth-616),https://marvel.fandom.com/wiki/Aaron_Chord_(Earth-616),3.0,1.0,6.0,2.0,3.0,3.0,3.0,1.0,6.0,2.0,3.0,3.0
Aaron English (Earth-616),https://marvel.fandom.com/wiki/Aaron_English_(Earth-616),2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0
Aaron Nicholson (Earth-616),https://marvel.fandom.com/wiki/Aaron_Nicholson_(Earth-616),2.0,1.0,2.0,4.0,2.0,2.0,6.0,5.0,2.0,4.0,3.0,6.0
Aaron Stack (Earth-616),https://marvel.fandom.com/wiki/Aaron_Stack_(Earth-616),6.0,6.0,3.0,3.0,3.0,4.0,6.0,6.0,4.0,4.0,3.0,4.0
Abd-el-Hazred (Earth-616),https://marvel.fandom.com/wiki/Abd-el-Hazred_(Earth-616),5.0,6.0,4.0,3.0,2.0,3.0,5.0,6.0,4.0,3.0,7.0,3.0
Abdul Qamar (Earth-616),https://marvel.fandom.com/wiki/Abdul_Qamar_(Earth-616),2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0
