name,url,value,power,level
Aged Genghis (Earth-616),https://marvel.fandom.com/wiki/Aged_Genghis_(Earth-616),Slow_or_Impaired,Intelligence,1
Alonzo Lincoln (Earth-616),https://marvel.fandom.com/wiki/Alonzo_Lincoln_(Earth-616),Slow_or_Impaired,Intelligence,1
Anton Miguel Rodriquez (Earth-616),https://marvel.fandom.com/wiki/Anton_Miguel_Rodriquez_(Earth-616),Slow_or_Impaired,Intelligence,1
Ape (Morlock) (Earth-616),https://marvel.fandom.com/wiki/Ape_(Morlock)_(Earth-616),Slow_or_Impaired,Intelligence,1
Apocalypse Beast (Earth-616),https://marvel.fandom.com/wiki/Apocalypse_Beast_(Earth-616),Slow_or_Impaired,Intelligence,1
Aragorn (Earth-616),https://marvel.fandom.com/wiki/Aragorn_(Earth-616),Slow_or_Impaired,Intelligence,1
Arsenal Alpha (Earth-616),https://marvel.fandom.com/wiki/Arsenal_Alpha_(Earth-616),Slow_or_Impaired,Intelligence,1
Arsenal Beta (Earth-616),https://marvel.fandom.com/wiki/Arsenal_Beta_(Earth-616),Slow_or_Impaired,Intelligence,1
B'nee and C'cil (Earth-616),https://marvel.fandom.com/wiki/B%27nee_and_C%27cil_(Earth-616),Slow_or_Impaired,Intelligence,1
Baby Karen (Earth-616),https://marvel.fandom.com/wiki/Baby_Karen_(Earth-616),Slow_or_Impaired,Intelligence,1
Bernard Hoyster (Earth-616),https://marvel.fandom.com/wiki/Bernard_Hoyster_(Earth-616),Slow_or_Impaired,Intelligence,1
Bernie Lachenay (Earth-616),https://marvel.fandom.com/wiki/Bernie_Lachenay_(Earth-616),Slow_or_Impaired,Intelligence,1
Biri (Earth-616),https://marvel.fandom.com/wiki/Biri_(Earth-616),Slow_or_Impaired,Intelligence,1
Braggadoom (Earth-616),https://marvel.fandom.com/wiki/Braggadoom_(Earth-616),Slow_or_Impaired,Intelligence,1
Brainstorm (Jimmy) (Earth-616),https://marvel.fandom.com/wiki/Brainstorm_(Jimmy)_(Earth-616),Slow_or_Impaired,Intelligence,1
Brian Hibbs (Earth-616),https://marvel.fandom.com/wiki/Brian_Hibbs_(Earth-616),Slow_or_Impaired,Intelligence,1
Bruce Banner (Earth-1610),https://marvel.fandom.com/wiki/Bruce_Banner_(Earth-1610),Slow_or_Impaired,Intelligence,1
Caliban (Earth-616),https://marvel.fandom.com/wiki/Caliban_(Earth-616),Slow_or_Impaired,Intelligence,1
Carnage (Symbiote) (Earth-1610),https://marvel.fandom.com/wiki/Carnage_(Symbiote)_(Earth-1610),Slow_or_Impaired,Intelligence,1
Chester Weems (Earth-80360),https://marvel.fandom.com/wiki/Chester_Weems_(Earth-80360),Slow_or_Impaired,Intelligence,1
Chtylok (Earth-616),https://marvel.fandom.com/wiki/Chtylok_(Earth-616),Slow_or_Impaired,Intelligence,1
Curtis Conners (Earth-1610),https://marvel.fandom.com/wiki/Curtis_Conners_(Earth-1610),Slow_or_Impaired,Intelligence,1
Datavore (Earth-616),https://marvel.fandom.com/wiki/Datavore_(Earth-616),Slow_or_Impaired,Intelligence,1
David Haller (Earth-616),https://marvel.fandom.com/wiki/David_Haller_(Earth-616),Slow_or_Impaired,Intelligence,1
Dennis Dunphy (Earth-616),https://marvel.fandom.com/wiki/Dennis_Dunphy_(Earth-616),Slow_or_Impaired,Intelligence,1
Deuce (Earth-616),https://marvel.fandom.com/wiki/Deuce_(Earth-616),Slow_or_Impaired,Intelligence,1
Devil's Heart (Earth-616),https://marvel.fandom.com/wiki/Devil%27s_Heart_(Earth-616),Slow_or_Impaired,Intelligence,1
Diablo (Bear) (Earth-616),https://marvel.fandom.com/wiki/Diablo_(Bear)_(Earth-616),Slow_or_Impaired,Intelligence,1
Doombringer (Earth-616),https://marvel.fandom.com/wiki/Doombringer_(Earth-616),Slow_or_Impaired,Intelligence,1
