name,url,power,value
Aged Genghis (Earth-616),/wiki/Aged_Genghis_(Earth-616),Intelligence,Slow or Impaired
Alonzo Lincoln (Earth-616),/wiki/Alonzo_Lincoln_(Earth-616),Intelligence,Slow or Impaired
Anton Miguel Rodriquez (Earth-616),/wiki/Anton_Miguel_Rodriquez_(Earth-616),Intelligence,Slow or Impaired
Ape (Morlock) (Earth-616),/wiki/Ape_(Morlock)_(Earth-616),Intelligence,Slow or Impaired
Apocalypse Beast (Earth-616),/wiki/Apocalypse_Beast_(Earth-616),Intelligence,Slow or Impaired
Aragorn (Earth-616),/wiki/Aragorn_(Earth-616),Intelligence,Slow or Impaired
Arsenal Alpha (Earth-616),/wiki/Arsenal_Alpha_(Earth-616),Intelligence,Slow or Impaired
Arsenal Beta (Earth-616),/wiki/Arsenal_Beta_(Earth-616),Intelligence,Slow or Impaired
B'nee and C'cil (Earth-616),/wiki/B%27nee_and_C%27cil_(Earth-616),Intelligence,Slow or Impaired
Baby Karen (Earth-616),/wiki/Baby_Karen_(Earth-616),Intelligence,Slow or Impaired
Bernard Hoyster (Earth-616),/wiki/Bernard_Hoyster_(Earth-616),Intelligence,Slow or Impaired
Bernie Lachenay (Earth-616),/wiki/Bernie_Lachenay_(Earth-616),Intelligence,Slow or Impaired
Biri (Earth-616),/wiki/Biri_(Earth-616),Intelligence,Slow or Impaired
Braggadoom (Earth-616),/wiki/Braggadoom_(Earth-616),Intelligence,Slow or Impaired
Brainstorm (Jimmy) (Earth-616),/wiki/Brainstorm_(Jimmy)_(Earth-616),Intelligence,Slow or Impaired
Brian Hibbs (Earth-616),/wiki/Brian_Hibbs_(Earth-616),Intelligence,Slow or Impaired
Bruce Banner (Earth-1610),/wiki/Bruce_Banner_(Earth-1610),Intelligence,Slow or Impaired
Caliban (Earth-616),/wiki/Caliban_(Earth-616),Intelligence,Slow or Impaired
Carnage (Symbiote) (Earth-1610),/wiki/Carnage_(Symbiote)_(Earth-1610),Intelligence,Slow or Impaired
Chester Weems (Earth-80360),/wiki/Chester_Weems_(Earth-80360),Intelligence,Slow or Impaired
Chtylok (Earth-616),/wiki/Chtylok_(Earth-616),Intelligence,Slow or Impaired
Curtis Conners (Earth-1610),/wiki/Curtis_Conners_(Earth-1610),Intelligence,Slow or Impaired
Datavore (Earth-616),/wiki/Datavore_(Earth-616),Intelligence,Slow or Impaired
David Haller (Earth-616),/wiki/David_Haller_(Earth-616),Intelligence,Slow or Impaired
Dennis Dunphy (Earth-616),/wiki/Dennis_Dunphy_(Earth-616),Intelligence,Slow or Impaired
Deuce (Earth-616),/wiki/Deuce_(Earth-616),Intelligence,Slow or Impaired
Devil's Heart (Earth-616),/wiki/Devil%27s_Heart_(Earth-616),Intelligence,Slow or Impaired
Diablo (Bear) (Earth-616),/wiki/Diablo_(Bear)_(Earth-616),Intelligence,Slow or Impaired
